control_relabu,treat_relabu,FSCA,rel_diff,qmd_diff,qmd_pvalue,rel_pvalue,qmd_qvalue,rel_qvalue
1.74229146732013e-06,3.494122999440412e-06,K12027,0.654267385714995,-0.24573261428500537,0.4,0.4,0.8729175050301812,0.6965960179833012
0.09103263056897289,0.08307264163378283,K01916,0.08295939435710142,-0.8170406056428989,0.6285714285714286,1.0,1.0,1.0
0.00013679262442763528,0.00034561247053479995,K03124,1.3183198385920356,0.41831983859203525,0.8571428571428571,0.22857142857142856,1.0,0.6392691372577911
0.0019039258016462334,0.004095081556300249,K03933,0.9791146728436271,0.07911467284362672,0.8571428571428571,0.4,1.0,0.6965960179833012
0.17132759740537237,0.374753091277092,K00091,1.0465799685429942,0.14657996854299382,0.6285714285714286,0.05714285714285714,1.0,0.6392691372577911
0.0027584441307679,0.00596134053134155,K08976,1.056624666001862,0.15662466600186153,0.6285714285714286,0.22857142857142856,1.0,0.6392691372577911
1.3542253458252848e-05,2.346940643391558e-05,K17566,0.768667711660111,-0.1313322883398893,0.8571428571428571,0.11428571428571428,1.0,0.6392691372577911
0.21391999186050611,0.3288238262999773,K06890,0.6346105139334226,-0.26538948606657775,0.8571428571428571,0.22857142857142856,1.0,0.6392691372577911
0.0007970893951754332,0.001931803469620325,K09826,1.0507982365460844,0.15079823654608404,1.0,0.4,1.0,0.6965960179833012
0.00020361130768525732,0.00025646175689422496,K19144,0.5850712842051102,-0.3149287157948901,1.0,0.4,1.0,0.6965960179833012
0.06990277903742773,0.012072984132282276,K09980,-2.129819646197271,-3.0298196461972715,0.11428571428571428,0.22857142857142856,0.5947902385522347,0.6392691372577911
0.9717027301091962,0.9660431768610087,K02115,-0.008839887567961627,-0.908839887567962,0.05714285714285714,1.0,0.40244897959183673,1.0
0.08343299951769913,0.06462204784858855,K16087,-0.3260608520130468,-1.2260608520130472,0.4,0.8571428571428571,0.8729175050301812,1.0
0.0014716250619592666,0.03647542224140118,K19217,2.2426820811121573,1.342682081112157,1.0,0.6285714285714286,1.0,0.893862031504617
5.2652524331990535e-06,7.285242005950326e-06,K18693,0.43583281637445737,-0.464167183625543,0.6285714285714286,0.8571428571428571,1.0,1.0
2.468914712577252e-06,4.174134135465219e-06,K09584,0.35586063288421954,-0.5441393671157808,0.8571428571428571,1.0,1.0,1.0
7.81812428990837e-05,0.00015225514754528264,K20090,0.8579349964693836,-0.04206500353061671,1.0,0.22857142857142856,1.0,0.6392691372577911
0.984047094710999,0.9723568602289769,K03565,-0.017885408663846494,-0.9178854086638468,0.05714285714285714,0.8571428571428571,0.40244897959183673,1.0
0.004902937083621867,0.009699490819998099,K08738,0.8398389857891075,-0.060161014210892816,1.0,0.4,1.0,0.6965960179833012
0.00014731067565826666,0.00027951597218974996,K11520,0.8727365288549471,-0.02726347114505323,0.8571428571428571,0.22857142857142856,1.0,0.6392691372577911
