taxonomy_id,S1,S2,S3,S4,S5,S6,S7
2986827,21,26,29,55,114,241,50
2845819,38,160,28,100,24,81,132
2986830,58,699,32,237,638,184,260
2654325,14,50,16,187,43,110,51
2986837,21,22,,75,428,393,83
2986823,14,41,71,205,42,225,297
2502784,409,337,38,290,47,327,78
1678728,310,90,59,211,55,286,37
2748320,268,67,42,449,185,1026,106
2602769,231,134,98,322,145,251,139
2175091,195,150,41,172,256,407,94
1355330,191,38,56,130,96,223,98
2172098,182,66,199,194,54,133,80
986,253,270,111,288,485,293,124
1871076,161,135,25,132,130,29,156
2906077,208,51,36,144,26,110,27
1784713,159,132,,176,49,536,115
2183896,214,101,70,149,137,452,106
459526,232,322,149,224,139,192,306
2547394,138,11,22,168,47,316,166
1306519,141,,,197,146,1218,138
1617283,240,43,118,302,81,999,200
2201181,144,25,51,155,379,322,302
2895947,146,,16,331,42,126,174
2162713,103,18,26,128,97,126,75
2704140,158,85,44,251,51,560,180
312277,95,118,28,134,14,141,73
1492737,96,126,53,235,104,228,239
1114861,144,22,68,150,73,140,256
2856519,69,85,15,92,32,307,61
996,188,38,117,180,316,140,765
55197,52,253,22,49,61,114,98
2816357,45,37,45,154,122,504,194
2249356,43,80,32,146,89,708,62
2906078,38,48,26,132,59,38,47
2518177,22,140,13,138,238,221,104
2897181,31,95,27,102,19,,189
2906076,42,111,277,318,116,572,82
683124,21,40,35,46,22,,35
1763534,13,160,,39,59,16,130
96345,11,22,36,118,56,46,140
76832,994,508,89,120,751,506,213
256,378,163,58,143,48,26,314
2562892,196,,,127,18,,84
2572594,162,12,17,45,38,,51
2968490,313,,48,265,46,72,192
1583100,14,,,98,,,36
480520,75,1486,10,87,69,42,131
702745,62,150,,290,381,122,175
1316596,121,157,69,147,274,205,155
1945658,120,40,,89,,,131
1945657,116,22,,132,154,764,35
2545799,46,15,,54,63,286,37
1018,505,1067,284,447,347,580,494
28188,184,178,66,292,67,320,258
45243,154,149,107,242,165,719,143
1019,120,98,30,434,260,672,252
28189,93,26,,47,,80,33
1848904,84,253,17,295,71,359,245
2708117,81,80,15,171,34,266,34
1017,34,117,17,84,73,117,85
2058137,181,179,50,312,83,892,96
2745562,342,,,467,82,,
2806551,71,42,53,209,33,143,358
313598,67,25,,79,45,,70
1855336,53,72,,121,40,118,127
1336804,48,16,,44,12,23,157
754397,46,22,,154,24,131,44
2686361,23,52,51,88,42,38,79
1529069,19,,19,62,82,72,283
2818493,279,28,17,206,21,80,147
1774273,90,45,16,167,47,306,26
1888915,83,39,54,100,79,248,25
326329,71,259,,120,15,,72
996801,59,14,18,146,22,117,33
2738844,54,172,159,68,94,86,109
1908341,43,98,,87,82,10,30
2808900,22,138,22,60,20,154,105
985043,47,,,236,34,662,111
101385,1084,45,152,784,404,160,316
2494375,311,802,135,198,147,1606,162
254955,831,591,481,890,1453,1294,683
2908843,137,71,25,123,24,17,63
2908842,126,240,64,302,123,323,101
1383885,106,26,,216,72,469,45
111501,99,11,16,139,39,337,31
2698672,83,277,17,246,21,250,37
516051,26,49,64,59,18,58,253
1486245,296,84,67,254,159,185,95
1250205,112,148,11,46,49,22,95
2920386,74,19,21,53,32,236,103
2705471,35,93,90,183,59,499,217
1913577,142,54,16,226,71,820,113
279359,92,175,181,172,54,462,56
411153,36,20,25,207,102,775,55
2126553,27,70,13,113,160,268,166
754423,256,65,46,239,75,306,266
104268,143,70,,175,,64,183
1850252,135,215,,178,44,216,85
584609,97,19,22,143,38,125,196
107401,75,24,,211,711,490,118
669041,25,11,,108,106,227,97
1336802,123,46,17,178,84,459,84
2608253,98,80,17,134,68,52,24
2058134,53,78,,76,16,,26
2719911,76,37,,59,21,227,
331648,175,37,,186,49,302,98
328515,135,24,47,142,24,51,193
2496866,33,,35,121,61,28,48
930802,12,34,22,72,29,21,34
2949996,200,139,14,165,82,355,158
1714860,115,123,20,308,52,343,72
1191912,120,30,,138,28,95,133
2736252,110,73,19,55,31,77,217
1714849,75,60,99,188,27,237,205
1714848,16,15,,187,28,208,96
1936080,125,39,28,107,23,279,16
754409,55,130,74,87,436,207,267
754417,55,30,,36,33,,105
2929510,21,21,44,91,35,118,171
2749995,19,21,78,224,25,14,83
1382466,175,,16,75,30,25,218
2686078,172,60,13,151,35,87,
