control_relabu,treat_relabu,Taxon,rel_diff,qmd_diff,qmd_pvalue,rel_pvalue,qmd_qvalue,rel_qvalue
1.980570454321826e-06,2.597828828925204e-06,100225,-0.5263468532161966,-1.426346853216197,0.8,0.8,1.0,1.0
1.7330196031440814e-06,1.0145776183906523e-06,1002672,-1.0312088779886501,-1.9312088779886505,0.6666666666666666,0.6666666666666666,1.0,1.0
2.785100331337337e-06,1.4528956379423441e-06,1003110,-0.4630100067451117,-1.363010006745112,0.11428571428571428,0.8571428571428571,1.0,1.0
4.239615160606131e-07,1.4497856351503614e-06,1004901,1.6978637409500976,0.7978637409500973,0.26666666666666666,0.26666666666666666,1.0,0.9259488768396593
6.30830072809776e-07,3.1583886239496557e-06,1005039,1.4851293632612297,0.5851293632612293,0.4,0.4,1.0,0.9259488768396593
3.1155116014441834e-06,3.4163783430444857e-06,1006,0.013959683545134993,-0.8860403164548654,0.6285714285714286,1.0,1.0,1.0
7.902000841199182e-06,5.65791091855005e-06,1006005,-0.48194853761549084,-1.3819485376154912,1.0,1.0,1.0,1.0
8.392177332663837e-07,2.7046882528356123e-06,1006155,1.5409050483718403,0.6409050483718399,0.6285714285714286,0.11428571428571428,1.0,0.891756807161507
4.3325490078602045e-07,2.9780581743763766e-06,1006576,2.4044693254041043,1.504469325404104,0.4,0.4,1.0,0.9259488768396593
7.360145083685392e-07,2.4362387521923896e-06,1007105,1.1408547210630609,0.2408547210630605,1.0,0.4,1.0,0.9259488768396593
1.142052949817301e-06,5.12612739047473e-06,100716,1.8896975342481142,0.9896975342481138,0.6285714285714286,0.22857142857142856,1.0,0.891756807161507
7.427226870617492e-07,3.0279275343961548e-06,1007676,1.583088686486633,0.6830886864866326,0.8,0.8,1.0,1.0
2.027511540323941e-06,3.477998458569781e-06,1008,0.9266404064941085,0.02664040649410815,0.8571428571428571,0.4,1.0,0.9259488768396593
1.894188644423625e-05,5.1558675257318983e-05,100886,1.4796319791792332,0.5796319791792328,0.4,0.11428571428571428,1.0,0.891756807161507
3.901747394985103e-06,3.602364772874827e-06,1009682,-0.26420585214106396,-1.1642058521410643,0.26666666666666666,0.5333333333333333,1.0,1.0
3.931307744661536e-06,4.959765012744031e-06,1010,0.4982087219594469,-0.4017912780405535,0.6285714285714286,0.6285714285714286,1.0,1.0
1.5163921527510712e-06,2.0302484953728803e-06,101192,0.12295035147217348,-0.7770496485278269,1.0,1.0,1.0,1.0
1.1361361146672955e-05,1.3566950108308555e-05,101385,0.9523386533790834,0.052338653379083055,1.0,0.4,1.0,0.9259488768396593
3.1609370093384756e-06,7.032442972862358e-06,1014,1.4788949127399142,0.5788949127399139,0.7,0.4,1.0,0.9259488768396593
4.4939702038028425e-06,1.1644904858326285e-05,101571,0.8056734721946235,-0.09432652780537687,0.8571428571428571,0.6285714285714286,1.0,1.0
7.814472528795819e-07,3.8332785708832455e-06,1016987,1.823029856292159,0.9230298562921586,0.4,0.1,1.0,0.891756807161507
1.66982421950287e-06,2.892797653357894e-06,1017,1.2020352699222023,0.302035269922202,0.6285714285714286,0.4,1.0,0.9259488768396593
1.8194026184197306e-05,1.4988274218793932e-05,1018,-0.13528625921052928,-1.0352862592105296,0.22857142857142856,0.8571428571428571,1.0,1.0
2.3476786718067208e-06,1.3755769928569372e-05,1019,2.4805397474324096,1.5805397474324092,0.05714285714285714,0.05714285714285714,1.0,0.891756807161507
1.125170634303165e-06,2.8572225289065873e-06,102116,1.0509838560282567,0.15098385602825637,1.0,0.4,1.0,0.9259488768396593
3.5899909071133577e-06,1.0758703918775105e-05,102134,1.4251159952959505,0.5251159952959501,0.6285714285714286,0.22857142857142856,1.0,0.891756807161507
5.415452481396871e-07,1.5606851655594723e-06,102684,1.381286184946994,0.4812861849469936,0.5333333333333333,0.26666666666666666,1.0,0.9259488768396593
1.4638363067585077e-06,5.546931933319683e-06,1027273,1.7171684924736255,0.8171684924736251,0.6285714285714286,0.05714285714285714,1.0,0.891756807161507
2.079095320283149e-06,2.3916429174569694e-06,1028416,-0.09016464964364701,-0.9901646496436474,0.6666666666666666,1.0,1.0,1.0
4.3325490078602045e-07,2.2338626561222196e-06,102862,1.791022878246256,0.8910228782462557,1.0,0.6666666666666666,1.0,1.0
2.127827559562256e-06,2.0997669107418173e-06,1028752,-0.7445504893904591,-1.6445504893904594,0.5333333333333333,1.0,1.0,1.0
8.590279705975959e-07,3.727115268305126e-06,1028989,2.038339892983405,1.1383398929834048,0.22857142857142856,0.11428571428571428,1.0,0.891756807161507
6.04052130285103e-07,1.530564695200242e-06,1030157,0.5931797646230912,-0.30682023537690917,0.8,0.8,1.0,1.0
