control_relabu,treat_relabu,FSCA,rel_diff,qmd_diff,qmd_pvalue,rel_pvalue,qmd_qvalue,rel_qvalue
0.1146640601241203,0.1086318614454998,2.8.1.2,-0.38305248692851235,-1.2830524869285127,0.4,0.8571428571428571,0.8002400960384154,0.9824130477500491
4.755215495896663e-05,0.00010623707721042758,1.3.4.1,1.2422756025669717,0.3422756025669713,0.8571428571428571,0.22857142857142856,1.0,0.6882808466701085
0.003907264891283667,0.00546843308220125,3.7.1.20,0.4278421694285708,-0.47215783057142957,0.6285714285714286,0.6285714285714286,1.0,0.8707516921980762
0.021934972839756334,0.02724671329346942,2.3.1.261,-3.0272207838369054,-3.9272207838369058,0.22857142857142856,0.4,0.6168652400231347,0.6882808466701085
0.0035632357122476997,0.008132021173415051,1.13.11.11,1.0724316833303789,0.1724316833303785,0.8571428571428571,0.22857142857142856,1.0,0.6882808466701085
4.888430650942603e-05,0.00012519155206456943,3.5.5.6,0.963043664357178,0.06304366435717768,0.8571428571428571,0.22857142857142856,1.0,0.6882808466701085
0.021852248147129064,0.02705225292253309,3.1.7.12,-4.563740072308923,-5.463740072308924,0.22857142857142856,0.4,0.6168652400231347,0.6882808466701085
0.00043694649159243333,0.000894380661417325,1.8.2.1,0.7866796218192889,-0.1133203781807115,0.8571428571428571,0.6285714285714286,1.0,0.8707516921980762
0.015845341360725768,0.012093176870282649,5.4.3.9,-0.36636655496740733,-1.2663665549674077,0.05714285714285714,0.4,0.23987045699892048,0.6882808466701085
0.0001055830147199502,0.00023169556517637618,3.4.21.111,0.8601556902921068,-0.039844309707893544,0.8571428571428571,0.6285714285714286,1.0,0.8707516921980762
0.18674925149603414,0.23613856325448393,2.5.1.61,0.09180623825378564,-0.8081937617462147,0.4,0.8571428571428571,0.8002400960384154,0.9824130477500491
0.008855553592430468,0.008755273535306526,4.2.1.129,0.6329256324576473,-0.26707436754235303,1.0,1.0,1.0,1.0
0.0459792990295417,0.11372560849287058,3.5.1.6,1.1402423275755975,0.24024232757559716,0.6285714285714286,0.22857142857142856,1.0,0.6882808466701085
0.00029385633005353333,0.000565958995576775,1.3.1.64,0.6540952374051017,-0.24590476259489868,0.6285714285714286,0.4,1.0,0.6882808466701085
5.6797742984749664e-05,0.000153490116427772,2.4.1.251,1.133590733865887,0.2335907338658867,1.0,0.4,1.0,0.6882808466701085
0.0732517912658213,0.05056498265298462,2.7.1.89,-0.5144635174987195,-1.41446351749872,0.4,1.0,0.8002400960384154,1.0
1.3941150247272824e-06,2.4781305806837593e-06,3.4.13.18,0.4095158045937275,-0.49048419540627286,0.4,0.8571428571428571,0.8002400960384154,0.9824130477500491
0.0009515715838055,0.0023843051155473,7.1.2.1,1.2386712878202353,0.3386712878202349,0.6285714285714286,0.11428571428571428,1.0,0.6882808466701085
0.0025389572856402668,0.0024942278991062,1.14.13.24,0.15793838939369387,-0.7420616106063065,0.6285714285714286,1.0,1.0,1.0
0.13740600562020266,0.11201051479875601,1.1.3.15,-0.30264964954165485,-1.2026496495416552,0.11428571428571428,1.0,0.40351089588377725,1.0
6.534299578032754e-07,1.3358956335465397e-06,2.1.1.233,1.0317027974442787,0.13170279744427837,1.0,1.0,1.0,1.0
3.548278611920046e-06,4.110762079136209e-06,2.3.1.67,-0.01577106884152002,-0.9157710688415204,0.22857142857142856,1.0,0.6168652400231347,1.0
0.0019689031482053,0.00108207350703945,7.2.4.3,-0.401721377786286,-1.3017213777862864,0.6285714285714286,0.8571428571428571,1.0,0.9824130477500491
0.0698346396860426,0.011995195559160475,4.2.1.130,-2.073190187151022,-2.9731901871510225,0.11428571428571428,0.22857142857142856,0.40351089588377725,0.6882808466701085
5.337654671930064e-05,9.320303171370892e-05,4.2.3.90,0.8246217713009614,-0.07537822869903898,0.8571428571428571,0.22857142857142856,1.0,0.6882808466701085
0.8638799913671766,0.8151785576271819,7.4.2.1,-0.1095688945240558,-1.0095688945240562,0.05714285714285714,0.8571428571428571,0.23987045699892048,0.9824130477500491
0.07252723968528417,0.049811268270278826,1.5.1.50,-0.5297472547761668,-1.4297472547761672,0.4,1.0,0.8002400960384154,1.0
0.7256530300911782,0.6070378457326205,4.3.1.1,-0.28309714688300097,-1.1830971468830014,0.05714285714285714,0.4,0.23987045699892048,0.6882808466701085
0.04796256756716607,0.10811042241200658,6.6.1.1,0.9020590192349607,0.0020590192349603242,0.8571428571428571,0.6285714285714286,1.0,0.8707516921980762
0.9137749088846657,0.903861088646331,7.2.2.17,-0.017687450981149794,-0.9176874509811501,0.05714285714285714,1.0,0.23987045699892048,1.0
0.07167712438956257,0.04763997140119694,2.3.1.222,-0.613970026853468,-1.5139700268534684,0.4,0.8571428571428571,0.8002400960384154,0.9824130477500491
0.0004166681936667666,0.000890157950356075,3.5.1.77,0.8439568287210371,-0.0560431712789633,0.8571428571428571,0.6285714285714286,1.0,0.8707516921980762
0.0027275901813721,0.0027928174928861,1.14.13.218,0.21054266362506446,-0.6894573363749359,0.6285714285714286,0.6285714285714286,1.0,0.8707516921980762
0.00043643558366273337,0.0009270644233414249,2.1.1.210,0.9643774251239847,0.06437742512398437,1.0,0.4,1.0,0.6882808466701085
0.310278011203828,0.30257283076514147,3.2.1.31,-0.12514831299274864,-1.025148312992749,0.05714285714285714,0.8571428571428571,0.23987045699892048,0.9824130477500491
6.028254805045626e-07,1.5737757177595963e-06,1.14.19.47,1.2652185547184907,0.3652185547184903,0.8,0.2,1.0,0.6882808466701085
3.6379081216425995e-06,1.0008928644127323e-05,4.2.3.125,1.6213256546689827,0.7213256546689824,1.0,0.1,1.0,0.6882808466701085
0.0027339777577867,0.03938286777155758,3.1.1.15,2.322850493932272,1.4228504939322715,1.0,0.4,1.0,0.6882808466701085
0.003564733368612167,0.007103739113378825,7.1.1.8,0.857765919653648,-0.04223408034635234,1.0,0.22857142857142856,1.0,0.6882808466701085
0.10325991274766104,0.0918908853233868,2.7.7.89,-0.4616556145372921,-1.3616556145372924,0.4,1.0,0.8002400960384154,1.0
0.10973814700665374,0.11410216052213272,2.7.1.28,-0.24668884784192713,-1.1466888478419275,0.22857142857142856,0.6285714285714286,0.6168652400231347,0.8707516921980762
0.1701189763599761,0.04576406110076198,2.5.1.132,-1.7902174082415807,-2.690217408241581,0.05714285714285714,0.05714285714285714,0.23987045699892048,0.6882808466701085
