sample	1868135	2494375	1521	911045	2841257	47879	699433	2774461	2291939	376805	373891	1932360	1909699	1761891	2684212	1486245	1131707	2785746	1336802	1238	2058134	69218	550	118126	104268	2527984	33035	158836	2738843	328812	2747372	2015076	29284	868131	101385	2479392	544645	133453	1714845	406548	702113	114616	374106	1816183	436	83655	476157	2781961	2725558	2479767	1630141	2714951	2518645	715451	1986204	1826872	2714926	2569541	2732530	1470347	267375	466153	1170699	2498848	88058	2711221	227	331648	648995	2585771	395598	147212	215591	2775246	323273	32052	2696063	2546360	1917830	484770	2744027	2589990	2058175	1547898	589873	35742	2317	2842350	2836432	2070348	2071710	881260	2836161	2815936	2789216	254246	2678260	1081866	1898042	354356	1560339	167964	2850078	75658	2497875	1848517	110164	185300	1094342	1717717	2488810	57029	2715131	648691	1827481	980251	146919	1353260	2214	39441	2731220	293091	47886	1913577	2014542	118062	1476901	2600177	2500132	84377	2724527	138563	2011159	1795355	2169583	1860122	657387	1329836	1917158	2591634	214	2596890	1185412	1391654	1932004	75612	367791	208224	388413	2730847	2494373	1777491	255519	1209493	2490635	1505757	447217	56877	2683272	1874277	2565914	217	2073078	35817	42895	1006	146826	161493	2173	1914541	2714927	1812935	2686359	390884	232259	2183911	172	279359	2705458	104087	639310	1851514	285091	2777186	2682810	28197	536044	1329823	2153385	1329841	230361	2596949	539813	416273	1737490	1803846	1610576	143223	280473	1365176	2779518	320787	2743090	176102	564369	1784714	228229	270918	1729720	376489	2011015	990268	2051905	1933929	1659194	2587851	1191459	87791	296199	2478464	930802	1789762	2358187	2172103	1578720	1329816	2719911	2268026	59930	1147	61645	2773454	1609968	641491	411153	1915310	2562285	370324	660522	28107	1113728	2247	104	1737424	2829500	222136	2850492	522485	313588	2772483	252966	2067572	328515	1287055	2494701	2571030	150829	1322	288	1198301	2058133	398743	33039	1807691	1796616	1336796	2292766	159	1442557	1510	33038	52584	1853699	2850493	1548548	2496866	1285901	754429	233316	95300	1686399	59932	59754	294671	2697027	379547	104628	565	40520	2982524	1348613	2561898	1207075	1353136	38027	29549	2724191	1250205	1244531	2569540	2785913	64471	2027919	65741	1416614	2961896	198618	2238	2126553	2798729	2608253	475088	1727163	197222	1851148	2728835	333962	1131703	1977566	28108	84378	89153	1329812
S1	0.0	8.08395480793732e-06	2.807289772531288e-06	7.538092907722904e-07	6.758290193130879e-07	3.37914509656544e-07	2.209441024677403e-06	3.119210858368098e-07	0.0	0.0012810079126841	5.874513783259918e-06	0.0	1.0657303766091002e-06	0.0	1.195697495707771e-06	7.694053450641309e-06	4.028980692058793e-06	2.859276620170757e-07	3.1971911298273004e-06	1.715565972102454e-06	1.37765146244591e-06	4.782789982831084e-06	2.500567371458425e-05	1.195697495707771e-06	3.717059606221984e-06	1.4296383100853785e-06	0.0001265099937306	4.915356444311728e-05	0.0	0.0002797412271479	0.0	4.340901777895603e-06	0.0	0.0	2.817687142059182e-05	9.357632575104294e-07	0.0002594663565685	2.5473555343339468e-06	0.0	2.3394081437760736e-06	0.0	3.483118791844376e-06	1.37765146244591e-06	0.0	4.470868896994274e-06	1.2372869738193455e-05	1.221690919527505e-06	4.704809711371881e-06	0.0	0.0012215869458322	0.0	2.1314607532182004e-06	2.703316077252352e-06	0.0	4.938750525749489e-07	0.0	1.8637284878749383e-05	2.235434448497137e-06	0.0	0.0008675565134074	8.837764098709611e-07	4.4188820493548054e-07	3.041230586908896e-06	1.039736952789366e-06	3.976993844419325e-06	6.238421716736196e-07	0.0	4.548849168453476e-06	0.0	8.057961384117586e-07	9.097698336906952e-07	0.0	1.7935462435616563e-06	2.3134147199563395e-06	0.0	0.0	2.399193018561462e-05	1.2996711909867075e-06	3.8990135729601225e-07	1.0657303766091002e-06	3.795039877681186e-06	0.0	0.0	0.0	0.0	0.0	0.0	1.0917238004288344e-06	0.0	0.0	9.877501051498978e-07	1.6375857006432514e-06	1.2736777671669734e-06	1.4556317339051124e-06	3.613085910943047e-06	6.498355954933538e-07	9.097698336906952e-07	5.458619002144172e-07	0.0	5.432625578324437e-06	1.3516580386261758e-06	9.617566813301636e-07	0.0	5.19868476394683e-07	1.6115922768235173e-06	0.0	0.0	1.5258139782183946e-05	0.0	1.271078424785e-05	4.782789982831084e-06	4.990737373388957e-06	1.3256646148064417e-06	0.0	0.0	9.877501051498978e-07	3.3791450965654395e-06	5.978487478538855e-07	0.0	1.8715265150208588e-06	0.0	0.0	0.0	3.691066182402249e-06	1.9235133626603277e-06	2.5473555343339468e-06	0.0	9.877501051498978e-07	7.018224431328221e-07	1.013743528969632e-06	7.538092907722904e-07	0.0	0.0	1.6895725482827195e-06	0.0	1.0657303766091002e-06	5.978487478538855e-07	0.0	0.0	2.625335805793149e-06	0.0	9.097698336906952e-07	5.926500630899386e-06	1.403644886265644e-06	0.0	0.0	7.538092907722903e-06	4.834776830470552e-06	1.403644886265644e-06	0.0	3.041230586908896e-06	0.0	6.238421716736196e-07	0.0	0.0	5.796533511800715e-06	0.0	0.0	3.119210858368098e-07	0.0	2.911263467810225e-06	0.0	0.0	5.978487478538855e-07	6.238421716736196e-07	5.82252693562045e-06	4.678816287552147e-07	4.548849168453476e-06	1.039736952789366e-06	0.0	1.182700783797904e-05	7.590079755362372e-06	2.5213621105142126e-06	6.446369107294069e-06	6.498355954933538e-07	3.37914509656544e-07	5.458619002144172e-07	2.391394991415542e-06	0.0	1.6635791244629856e-06	2.963250315449693e-06	4.652822863732413e-06	1.195697495707771e-06	9.357632575104294e-07	3.9250069967798565e-06	0.0	7.798027145920245e-07	0.0	2.599342381973415e-06	4.158947811157464e-07	3.37914509656544e-07	1.6895725482827195e-06	4.392888625535071e-06	0.0	9.357632575104294e-07	3.1711977060075663e-06	0.0	2.079473905578732e-06	3.639079334762781e-06	0.0	4.2473254521445605e-05	1.6115922768235173e-06	0.0	0.0	0.0	1.741559395922188e-06	6.758290193130879e-07	8.577829860512269e-07	9.565579965662168e-06	9.877501051498978e-07	0.0	0.0	0.0	0.0	0.0	1.5336120053643149e-06	2.75530292489182e-06	0.0	6.238421716736196e-07	4.834776830470552e-06	3.119210858368098e-07	4.678816287552147e-07	7.278158669525562e-07	7.018224431328221e-07	0.0	0.0	1.975500210299796e-06	4.756796559011349e-06	1.1697040718880368e-06	0.0	9.95548132295818e-06	0.0	9.877501051498978e-07	1.146309990450276e-05	9.357632575104294e-07	0.0	1.8455330912011248e-06	6.498355954933538e-07	7.278158669525562e-07	0.0	0.0	0.0	5.146697916307362e-06	0.001020033937534	0.0	0.0	0.0	1.195697495707771e-06	0.0	4.938750525749489e-06	4.834776830470552e-06	0.0	3.50911221566411e-06	1.6115922768235173e-06	1.2736777671669734e-06	5.874513783259918e-06	2.391394991415542e-06	0.0001348538827767	0.0	3.119210858368098e-07	0.0	5.64057296888231e-06	0.0005288362076124	3.3531516727457053e-06	0.0001029079649023	7.018224431328221e-07	3.3791450965654395e-06	1.2996711909867075e-06	0.0	8.993724641628016e-06	0.0096453797767887	1.221690919527505e-06	0.0	0.0	0.0	8.577829860512269e-07	1.4556317339051124e-06	6.758290193130879e-07	0.0	0.0	0.0	0.0	0.0	0.0	9.357632575104294e-07	0.0	8.837764098709611e-07	4.392888625535071e-06	0.0007694833253355	0.0	7.434119212443967e-06	5.458619002144172e-07	1.6635791244629856e-06	5.19868476394683e-07	2.599342381973415e-06	6.212428292916462e-06	4.4188820493548054e-07	2.911263467810225e-06	0.0	1.8455330912011248e-06	0.0	0.0	5.276665035406032e-06	1.013743528969632e-06	2.209441024677403e-06	8.577829860512269e-07	4.678816287552147e-07	0.0	7.018224431328221e-07	0.0	2.5473555343339468e-06	3.37914509656544e-07	7.538092907722904e-07	2.8592766201707565e-06	1.4296383100853785e-06	1.6895725482827195e-06	3.639079334762781e-07	4.730803135191616e-06	0.0	1.039736952789366e-06	0.0	7.883805444525368e-05	0.0
S2	0.0	2.481931645931345e-05	1.0800425741022936e-05	9.90296916082332e-07	1.330711480985634e-06	6.498823511790305e-07	1.3926050382407796e-06	1.021243694709905e-06	0.0	0.0003662241782786	4.054028000212048e-06	6.189355725514576e-07	4.765803908646224e-06	0.0	4.889591023156516e-06	2.599529404716122e-06	1.0769478962395362e-05	1.8877534962819455e-06	1.4235518168683525e-06	1.6401792672613629e-06	2.4138487329506846e-06	1.689694113065479e-05	0.0001013197532266	5.26095236668739e-07	2.1662745039301017e-06	1.8877534962819455e-06	0.0003909816011807	0.0003002765930233	0.0	0.0005398356063793	0.0	1.949647053537092e-06	0.0	8.355630229444678e-07	1.3926050382407796e-06	2.4138487329506846e-06	0.0026503440152225	1.8877534962819455e-06	0.0	2.4138487329506846e-06	0.0	4.5182296796256405e-06	4.642016794135932e-07	0.0	3.527932763543308e-06	5.573514830825876e-05	3.713613435308746e-07	4.394442565115349e-06	5.879887939238847e-07	0.0018221153788128	4.920537801784088e-06	1.1233680641808956e-05	9.284033588271864e-07	8.974565801996135e-07	7.117759084341762e-07	0.0	1.8413333283405863e-05	3.4969859849157355e-06	0.0	2.5531092367747623e-05	3.094677862757288e-06	9.284033588271864e-06	8.355630229444678e-07	1.3616582596132069e-06	3.2803585345227253e-06	3.404145649033017e-07	0.0	1.1450308092201965e-06	2.1260436917142568e-05	8.974565801996135e-07	4.3325490078602045e-07	0.0	2.0115406107922374e-06	6.65355740492817e-06	0.0	0.0	4.945295224686146e-05	1.7330196031440814e-06	3.713613435308746e-07	5.013378137666806e-06	8.665098015720407e-07	0.0	1.4544985954959254e-06	0.0	0.0	0.0	7.427226870617492e-07	1.5163921527510711e-05	6.498823511790305e-07	0.0	4.08497477883962e-06	4.054028000212048e-06	6.375036397280014e-06	4.642016794135932e-07	2.630476183343695e-06	4.023081221584474e-07	5.26095236668739e-07	4.61107001550836e-06	7.117759084341762e-07	2.104380946674956e-06	2.661422961971268e-06	3.404145649033017e-06	0.0	3.404145649033017e-07	6.405983175907586e-06	0.0	0.0	2.5592985925002773e-05	1.6711260458889356e-06	3.620773099426027e-06	2.1477064367535574e-05	1.4544985954959254e-06	2.1353277253025286e-06	0.0	0.0	2.847103633736705e-06	6.436929954535159e-06	0.0	0.0	5.879887939238847e-07	0.0	4.3325490078602045e-07	0.0	1.6711260458889356e-06	1.763966381771654e-06	6.808291298066033e-07	0.0	1.6711260458889356e-06	4.270655450605057e-06	2.104380946674956e-06	3.404145649033017e-07	5.26095236668739e-07	4.951484580411661e-07	4.703910351391078e-06	0.0	1.021243694709905e-06	1.4854453741234983e-06	0.0	0.0	2.8161568551091323e-06	0.0	7.117759084341762e-07	1.5535282871041585e-05	3.311305313150298e-06	4.549176458253213e-06	1.0831372519650509e-06	5.137165252177098e-06	1.4792560183979836e-05	4.858644244528942e-06	1.4854453741234983e-06	1.7144515359675376e-05	0.0	4.73485713001865e-06	7.73669465689322e-07	0.0	3.0853938291690165e-05	1.5163921527510712e-06	0.0	2.04248738941981e-06	0.0	3.2184649772675795e-06	0.0	0.0	0.0	0.0	2.6923697405988406e-06	4.3325490078602045e-07	4.208761893349912e-06	8.974565801996135e-07	0.0	3.818832482642493e-05	7.616002220245686e-05	8.046162443168949e-07	4.765803908646224e-06	2.4138487329506846e-06	7.73669465689322e-07	7.117759084341762e-07	5.415686259825254e-06	0.0	3.620773099426027e-06	1.6711260458889356e-06	2.1322330474397715e-05	5.570420152963119e-07	4.301602229232631e-06	2.661422961971268e-06	4.023081221584475e-06	0.0	0.0	1.2409658229656723e-05	2.351955175695539e-06	2.7542632978539864e-06	9.624448153175168e-06	2.382901954323112e-05	8.355630229444678e-07	3.404145649033017e-07	6.467876733162732e-06	8.665098015720407e-07	3.404145649033017e-07	1.9805938321646643e-06	0.0	7.322007823283744e-05	1.9187002749095184e-06	0.0	0.0	4.889591023156516e-06	7.891428550031085e-06	2.1662745039301017e-06	1.052190473337478e-06	6.12746216825943e-06	8.974565801996135e-07	0.0	0.0	0.0	0.0	0.0	4.301602229232631e-06	2.8161568551091323e-06	0.0	1.2378711451029152e-06	1.989877865752936e-05	1.052190473337478e-06	8.355630229444678e-07	0.0	6.498823511790305e-07	0.0	0.0	1.1450308092201965e-06	4.2397086719774845e-06	4.703910351391078e-06	9.284033588271864e-07	3.936430241427271e-05	2.073434168047383e-06	2.661422961971268e-06	5.972728275121566e-06	6.189355725514576e-07	5.26095236668739e-07	3.713613435308746e-07	0.0	1.8568067176543728e-06	3.404145649033017e-07	0.0	0.0	6.003675053749139e-06	0.0014234589765324	4.023081221584474e-07	0.0	4.487282900998068e-06	1.052190473337478e-06	0.0	6.529770290417878e-06	1.5380548977903723e-05	0.0	7.427226870617492e-07	4.7967506872737965e-06	7.117759084341763e-06	1.086231929827808e-05	3.094677862757288e-06	0.0003747964359585	0.0	7.117759084341762e-07	0.0	2.2591148398128203e-06	0.0099375367125503	5.879887939238847e-06	0.0001797079434903	9.407820702782155e-06	1.9805938321646643e-06	9.284033588271864e-06	0.0	1.1666935542594977e-05	0.0081910862074818	5.415686259825254e-06	8.355630229444678e-07	0.0	8.974565801996135e-07	0.0	2.4138487329506846e-06	6.498823511790305e-07	1.1140840305926238e-06	6.808291298066033e-07	0.0	3.713613435308746e-07	1.547338931378644e-06	1.1140840305926238e-06	2.908997190991851e-06	4.5182296796256405e-06	0.0	2.3767125985975973e-05	0.0020126237480442	0.0	1.6587473344379062e-05	0.0	0.0	8.046162443168949e-07	1.6092324886337895e-06	6.932078412576326e-06	4.951484580411661e-07	4.580123236880786e-06	5.879887939238847e-07	2.9708907482469966e-06	5.570420152963118e-06	6.498823511790305e-07	8.417523786699824e-06	1.1728829099850122e-05	1.268817923730488e-06	1.052190473337478e-06	1.1759775878477694e-06	0.0	2.1662745039301017e-06	0.0	2.4757422902058304e-06	4.642016794135932e-06	1.8877534962819455e-06	1.8877534962819455e-06	2.104380946674956e-06	4.115921557467193e-06	1.8258599390268e-06	2.599529404716122e-06	0.0	3.404145649033017e-06	8.665098015720407e-07	0.0001428812769235	0.0
S3	0.0	4.009683831974645e-06	5.197738300707873e-06	0.0	0.0	0.0	1.3959640007615429e-06	0.0	0.0	0.000179990252013	4.009683831974645e-06	0.0	0.0	0.0	0.0	1.989991235128157e-06	2.346407575748125e-06	4.455204257749605e-07	5.049231492116219e-07	5.049231492116219e-07	0.0	1.0395476601415744e-06	1.0514282048289068e-05	0.0	0.0	9.801449367049132e-07	0.0001371905897769	4.173041321425463e-05	0.0	0.0022422151988402	0.0	2.2276021288748027e-06	0.0	0.0	4.5146069811862665e-06	1.782081703099842e-06	0.0015061857540982	7.128326812399368e-07	0.0	2.079095320283149e-06	0.0	7.425340429582676e-07	3.267149789016377e-07	0.0	5.346245109299526e-07	4.276996087439621e-06	3.564163406199684e-07	9.504435749865824e-07	1.0098462984232438e-06	0.0001548331986376	5.346245109299526e-07	3.8611770233829913e-07	1.0098462984232438e-06	0.0	0.0	2.97013617183307e-07	2.287004852311464e-06	2.0493939585648182e-06	0.0	0.0001227557279818	0.0	1.1286517452965666e-06	9.504435749865824e-07	0.0	1.0395476601415744e-06	1.69297761794485e-06	0.0	0.0	1.2207259666233916e-05	6.534299578032754e-07	5.94027234366614e-07	0.0	6.831313195216061e-07	4.158190640566298e-07	0.0	0.0	1.95434960106616e-05	5.138335577271211e-06	5.791765535074487e-06	2.3167062140297945e-06	0.0	0.0	6.534299578032754e-07	0.0	0.0	0.0	1.0395476601415744e-06	0.0	0.0	0.0	2.97013617183307e-07	0.0	0.0	3.564163406199684e-07	2.168199405438141e-06	3.267149789016377e-07	3.8611770233829913e-07	0.0	0.0	1.0395476601415744e-06	0.0	0.0	0.0	3.564163406199684e-07	3.8611770233829913e-07	0.0	0.0	6.2966886842861085e-06	1.6632762562265191e-06	1.782081703099842e-06	4.069086555411306e-06	0.0	5.643258726482833e-07	0.0	0.0	3.564163406199684e-07	2.346407575748125e-06	0.0	0.0	3.267149789016377e-07	0.0	0.0	0.0	4.752217874932912e-07	1.3068599156065509e-06	0.0	0.0	7.722354046765983e-07	0.0	3.950281108537983e-06	0.0	7.722354046765983e-07	4.455204257749605e-07	6.7719104717794e-06	0.0	3.267149789016377e-07	1.4553667241982043e-06	0.0	0.0	3.267149789016377e-06	0.0	5.643258726482833e-07	6.415494131159431e-06	2.0493939585648182e-06	0.0	6.534299578032754e-07	2.197900767156472e-06	1.3068599156065509e-06	7.425340429582676e-07	3.564163406199684e-07	1.2474571921698897e-06	0.0	7.128326812399368e-07	2.97013617183307e-07	0.0	2.5840184694947707e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.316381281132596e-07	4.752217874932912e-07	2.4058102991847867e-06	4.158190640566298e-07	0.0	4.989828768679558e-06	5.52445327960951e-06	0.0	1.9602898734098264e-06	1.1791440602177287e-05	0.0	3.564163406199684e-07	5.3759464710178565e-06	0.0	3.564163406199684e-07	3.861177023382991e-06	1.4850680859165351e-06	0.0	2.197900767156472e-06	4.039385193692975e-06	7.425340429582676e-07	0.0	0.0	0.0	0.0	1.0395476601415744e-06	0.0	1.188054468733228e-06	0.0	2.881032086678078e-06	1.1583531070148972e-06	1.0395476601415744e-06	5.643258726482833e-07	6.831313195216061e-07	0.0	1.969200281925325e-05	9.504435749865824e-07	0.0	0.0	0.0	7.722354046765983e-07	3.564163406199684e-07	7.128326812399368e-07	4.455204257749605e-07	8.613394898315903e-07	0.0	0.0	0.0	0.0	0.0	2.3167062140297945e-06	1.0395476601415744e-06	0.0	6.831313195216061e-07	4.752217874932912e-07	6.534299578032754e-07	2.97013617183307e-07	0.0	1.6038735327898575e-06	0.0	0.0	0.0	1.1583531070148972e-06	3.8611770233829913e-07	6.237285960849447e-07	2.346407575748125e-06	1.0692490218599052e-06	1.0395476601415744e-06	2.9701361718330702e-06	7.425340429582676e-07	0.0	1.27715855388822e-06	0.0	0.0	6.237285960849447e-07	0.0	0.0	1.7523803413815114e-06	0.0003984140660896	0.0	0.0	0.0	5.227439662426204e-06	0.0	3.772072938227999e-06	1.69297761794485e-06	0.0	1.3959640007615429e-06	6.534299578032754e-07	0.0	4.455204257749605e-06	1.6335748945081883e-06	0.0002003356847901	0.0	0.0	0.0	8.019367663949289e-07	0.000515526535345	1.3959640007615429e-06	9.251974175260014e-05	1.3959640007615429e-06	1.1583531070148972e-06	1.188054468733228e-06	0.0	5.168036938989541e-06	0.0140975731314353	8.613394898315903e-07	0.0	0.0	8.019367663949289e-07	1.0395476601415744e-06	8.613394898315903e-07	9.504435749865824e-07	7.722354046765983e-07	2.97013617183307e-07	0.0	0.0	0.0	5.049231492116219e-07	1.3365612773248817e-06	0.0	0.0	1.4256653624798737e-06	0.0004467084802436	0.0	3.950281108537983e-06	0.0	0.0	0.0	3.267149789016377e-07	2.999837533551401e-06	8.019367663949289e-07	3.267149789016377e-07	0.0	2.0493939585648182e-06	0.0	0.0	0.0	7.425340429582676e-07	7.722354046765983e-07	0.0	0.0	8.702498983470895e-06	3.8611770233829913e-07	0.0	5.049231492116219e-07	2.97013617183307e-07	8.91040851549921e-07	9.504435749865824e-07	2.2276021288748027e-06	9.207422132682516e-07	3.8611770233829913e-07	4.158190640566298e-06	0.0	2.673122554649763e-06	0.0	7.460982063644671e-05	0.0
S4	2.828955459275025e-06	7.779627513006319e-06	2.5224852845202308e-05	5.815075110731996e-06	1.0372836684008426e-05	5.10783624591324e-07	5.304291486140672e-06	0.0	0.0	0.0018517085122876	5.579328822459077e-06	5.540037774413591e-06	2.239589738592728e-06	0.0	1.1001493452736209e-06	9.97992620355356e-06	8.761903714143481e-06	2.1610076425017558e-06	6.99380655209659e-06	3.339739083866349e-06	2.986119651456971e-06	3.477257752025552e-05	0.0001428229596453	2.0038434503198096e-06	6.875933407960131e-06	6.050821399004915e-06	0.0002414041991914	0.0017005165594086	2.278880786638214e-06	0.0002750766273664	1.2376680134328234e-05	1.143369498123656e-05	7.190261792324022e-06	2.5932091710021065e-06	3.080418166766139e-05	3.064701747547944e-06	0.0018387817574807	1.4852016161193882e-05	1.7680971620468906e-06	1.830962838919669e-05	3.418321179957322e-06	1.1394403933191074e-05	3.732649564321214e-06	6.600896071641725e-06	1.3476829479601856e-05	2.1452912232835607e-05	2.043134498365296e-06	1.1355112885145586e-05	3.1039927955934305e-06	0.0010732349773624	4.754216813503862e-06	4.282724236958024e-06	2.828955459275025e-06	5.10783624591324e-07	1.021567249182648e-06	6.679478167732698e-07	2.4360449788201605e-05	7.465299128642428e-06	0.0	7.866067818706389e-05	7.97608275323375e-06	1.0726456116417803e-05	5.225709390049699e-06	2.121716594456269e-06	1.2062351749964345e-05	1.5716419218194585e-06	0.0	7.308134936460482e-06	1.5716419218194585e-06	4.950672053731294e-06	2.632500219047593e-06	7.347425984505968e-06	1.0176381443780993e-05	3.8112316604121862e-06	5.029254149822267e-06	0.0	0.0001161443380224	2.750373363184052e-06	5.382873582231645e-06	1.720947904392307e-05	3.8112316604121862e-06	3.929104804548646e-07	2.9468286034114844e-06	3.3790301319118355e-06	6.600896071641725e-06	0.0	3.6147764201847545e-06	0.0	7.072388648187563e-07	0.0	5.540037774413591e-06	0.0005155378414048	7.0330976001420765e-06	8.486866377825076e-06	7.426008080596941e-06	1.9252613542288368e-06	3.418321179957322e-06	6.0115303509594284e-06	4.675634717412889e-06	2.3888957211655766e-05	1.610932969864945e-06	1.4066195200284151e-05	0.0	2.2002986905472418e-06	2.577492751783912e-05	1.5716419218194585e-06	4.3220152850035115e-07	4.3888100666808376e-05	3.536194324093781e-06	1.496988930533034e-05	6.027246770177623e-05	8.526157425870562e-06	5.736493014641023e-06	2.1610076425017558e-06	0.0	2.4360449788201604e-06	1.642365808301334e-05	6.286567687277834e-07	5.579328822459077e-06	7.858209609097292e-07	1.139440393319107e-06	1.6502240179104311e-06	7.072388648187563e-07	8.87977685827994e-06	5.736493014641023e-06	4.3220152850035115e-07	1.7288061140014042e-06	2.7896644112295382e-06	6.44373187945978e-06	5.343582534186159e-06	4.322015285003511e-06	5.147127293958726e-06	3.261156987775376e-06	9.036941050461888e-06	0.0	8.21182904150667e-06	8.919067906325427e-06	0.0	0.0	9.901344107462589e-06	1.139440393319107e-06	4.125560044776078e-06	4.4595339531627134e-05	1.155156812537302e-05	5.579328822459077e-06	3.22186593972989e-06	1.685585961151369e-05	3.07648906196159e-05	3.88981375650316e-06	2.5146270749111336e-06	8.054664849324724e-06	0.0	5.500746726368104e-07	5.972239302913942e-06	2.278880786638214e-06	4.007686900639619e-06	2.0470636031698445e-05	2.750373363184052e-06	1.2180224894100802e-06	9.036941050461886e-07	1.6895150659559178e-06	2.0824255464107825e-06	9.822762011371616e-07	0.0	0.0	8.251120089552156e-06	2.3574628827291875e-06	1.7170187995877583e-05	1.6502240179104311e-06	6.286567687277834e-07	2.597138275806655e-05	0.0002048242334611	5.029254149822267e-06	1.3948322056147692e-05	5.422164630277132e-06	1.453768777682999e-06	1.4930598257284854e-06	6.758060263823671e-06	3.064701747547944e-06	4.479179477185456e-06	3.0254106995024576e-06	1.021567249182648e-05	5.068545197867753e-06	3.339739083866349e-06	2.188511376133596e-05	9.822762011371617e-06	1.9252613542288368e-06	0.000289378568855	4.479179477185456e-06	3.166858472466209e-05	1.2573135374555668e-06	8.644030570007021e-07	2.1335039088699147e-05	3.929104804548646e-07	1.7288061140014042e-06	7.740336464960833e-06	6.915224456005617e-06	5.972239302913942e-06	2.3574628827291875e-06	1.610932969864945e-06	0.0001048285161853	4.164851092821565e-06	1.4144777296375123e-06	1.2966045855010532e-06	1.4930598257284854e-06	3.8112316604121862e-06	2.8682465073205115e-06	3.6147764201847545e-06	1.477343406510291e-05	4.282724236958024e-06	2.6717912670930798e-06	1.4930598257284854e-06	0.0	1.88597030618335e-06	0.0	4.43988842913997e-06	1.6737986467377232e-05	0.0	5.500746726368104e-07	8.919067906325427e-06	2.828955459275025e-06	4.046977948685105e-06	2.4360449788201604e-06	9.036941050461886e-07	8.251120089552157e-07	0.0	2.318171834683701e-06	4.164851092821565e-06	8.761903714143481e-06	2.3574628827291875e-06	7.025239390532979e-05	2.0038434503198096e-06	6.090112447050401e-06	2.1256456992608172e-05	8.133246945415697e-06	2.0824255464107825e-06	7.0723886481875625e-06	8.644030570007021e-07	1.4144777296375123e-06	1.4930598257284854e-06	0.0	9.429851530916752e-07	5.225709390049699e-06	0.0024249649032713	1.021567249182648e-06	0.0	5.815075110731996e-06	1.6502240179104311e-06	3.732649564321214e-06	1.1355112885145586e-05	3.97625406220323e-05	0.0	5.579328822459077e-06	5.422164630277132e-06	1.4184068344420613e-05	1.6030747602558477e-05	2.007772555124358e-05	0.0003762117850355	0.0	4.086268996730592e-06	0.0	1.4576978824875476e-05	0.0009859695596534	6.207985591186861e-06	0.0002141755028959	1.846679258137864e-06	1.3516120527647342e-05	6.797351311869158e-06	8.644030570007021e-07	7.033097600142077e-05	0.0062853496647884	2.2160151097654365e-05	7.97608275323375e-06	0.0	6.679478167732698e-06	4.754216813503862e-06	1.677727751542272e-05	1.1787314413645935e-06	0.0	3.929104804548646e-06	8.997650002416399e-06	2.121716594456269e-06	0.0	2.7896644112295382e-06	1.2062351749964345e-05	6.679478167732698e-07	0.0	8.919067906325427e-06	0.001633486031443	5.893657206822969e-07	2.608925590220301e-05	1.0608582972281345e-06	0.0	5.029254149822267e-06	5.304291486140672e-06	2.8093099352522815e-05	1.5716419218194585e-06	1.8073882100923773e-06	7.072388648187563e-07	1.634507598692237e-05	0.0	0.0	4.1019854159487865e-05	9.390560482871264e-06	1.143369498123656e-05	0.0	1.2180224894100802e-06	0.0	4.43988842913997e-06	0.0001277744882439	5.265000438095186e-06	3.8505227084576735e-06	5.893657206822969e-06	2.9468286034114844e-06	1.119794869296364e-05	4.911381005685808e-06	1.8073882100923773e-06	8.44757532977959e-06	4.597052621321916e-06	9.036941050461888e-06	1.0844329260554265e-05	0.0001862395677356	0.0
