e_id	copynumber
1.1.1.1	7
1.1.1.100	11
1.1.1.122	1
1.1.1.127	1
1.1.1.133	1
1.1.1.135	1
1.1.1.14	1
1.1.1.157	2
1.1.1.169	1
1.1.1.193	2
1.1.1.205	1
1.1.1.22	1
1.1.1.23	1
1.1.1.25	2
1.1.1.26	2
1.1.1.262	2
1.1.1.264	1
1.1.1.267	1
1.1.1.271	1
1.1.1.276	1
1.1.1.281	1
1.1.1.284	1
1.1.1.3	2
1.1.1.30	3
1.1.1.303	1
1.1.1.304	1
1.1.1.31	3
1.1.1.338	1
1.1.1.35	2
1.1.1.350	1
1.1.1.36	1
1.1.1.363	1
1.1.1.37	2
1.1.1.381	1
1.1.1.399	4
1.1.1.4	1
1.1.1.40	2
1.1.1.401	1
1.1.1.408	2
1.1.1.409	2
1.1.1.410	1
1.1.1.411	1
1.1.1.42	1
1.1.1.47	1
1.1.1.49	1
1.1.1.57	1
1.1.1.58	1
1.1.1.60	3
1.1.1.65	3
1.1.1.69	1
1.1.1.76	1
1.1.1.79	3
1.1.1.81	3
1.1.1.85	1
1.1.1.86	1
1.1.1.94	1
1.1.1.95	4
1.1.2.3	4
1.1.2.4	3
1.1.3.15	1
1.1.3.46	1
1.1.3.8	1
1.1.5.3	1
1.1.5.4	1
1.1.98.3	1
1.1.98.6	1
1.1.99.1	2
1.1.99.3	2
1.1.99.31	1
1.11.1.10	4
1.11.1.21	1
1.11.1.24	4
1.11.1.25	4
1.11.1.26	4
1.11.1.27	4
1.11.1.28	4
1.11.1.29	4
1.12.7.2	1
1.12.99.6	3
1.13.11.2	1
1.13.11.25	1
1.13.11.27	1
1.13.11.3	2
1.13.11.37	1
1.13.11.79	1
1.13.11.81	1
1.13.12.16	3
1.14.11.33	1
1.14.12.17	1
1.14.13.1	1
1.14.13.127	1
1.14.13.148	1
1.14.13.195	1
1.14.13.196	1
1.14.13.2	1
1.14.13.238	4
1.14.13.40	2
1.14.13.59	1
1.14.13.83	2
1.14.14.1	1
1.14.14.35	1
1.14.14.5	3
1.14.14.9	1
1.14.99.58	1
1.15.1.1	2
1.16.3.1	1
1.17.1.1	1
1.17.1.4	2
1.17.1.8	1
1.17.1.9	4
1.17.2.1	2
1.17.4.1	1
1.17.7.1	1
1.17.7.3	1
1.17.7.4	1
1.17.99.6	1
1.18.1.2	2
1.18.6.1	4
1.19.1.1	2
1.2.1.11	1
1.2.1.12	1
1.2.1.16	4
1.2.1.18	2
1.2.1.20	4
1.2.1.27	2
1.2.1.3	4
1.2.1.38	2
1.2.1.41	1
1.2.1.79	4
1.2.1.8	1
1.2.1.88	1
1.2.3.3	2
1.2.4.1	4
1.2.4.2	1
1.2.5.1	2
1.2.5.3	4
1.2.7.8	1
1.20.4.1	5
1.3.1.10	3
1.3.1.106	1
1.3.1.12	1
